DATE,SOLD,PRICE,URL
2020-03-17,840,375.88,https://www.mindfactory.de/product_info.php/Intel-Core-i7-9700-8x-3-00GHz-So-1151-BOX_1316326.html
2020-03-17,"13,890",390.80,https://www.mindfactory.de/product_info.php/Intel-Core-i7-9700K-8x-3-60GHz-So-1151-WOF_1283005.html
2020-03-17,170,384.71,https://www.mindfactory.de/product_info.php/Intel-Core-i7-9700KF-8x-3-60GHz-So--1151-TRAY_1305404.html
2020-03-17,140,458.16,https://www.mindfactory.de/product_info.php/Intel-Core-i9-9900-8x-3-10GHz-So--1151-BOX_1316325.html
2020-03-17,"10,450",528.90,https://www.mindfactory.de/product_info.php/Intel-Core-i9-9900K-8x-3-60GHz-So-1151-WOF_1280054.html
2020-03-17,740,510.67,https://www.mindfactory.de/product_info.php/Intel-Core-i9-9900KF-8x-3-60GHz-So--1151-WOF_1306144.html
2020-03-17,180,0,https://www.mindfactory.de/product_info.php/Intel-Core-i9-9900X-10x-3-50GHz-So-2066-WOF_1287779.html
2020-03-17,740,510.67,https://www.mindfactory.de/product_info.php/Intel-Core-i9-9900KF-8x-3-60GHz-So--1151-WOF_1306144.html
2020-03-17,70,786.53,https://www.mindfactory.de/product_info.php/Intel-Core-i9-9940X-14x-3-30GHz-So-2066-WOF_1295745.html
2020-03-17,10,0,https://www.mindfactory.de/product_info.php/Intel-Core-i9-9960X-16x-3-10GHz-So-2066-WOF_1290008.html
2020-03-17,"1,470",226.82,https://www.mindfactory.de/product_info.php/Intel-Core-i5-9400-6x-2-90GHz-So--1151-BOX_1315174.html
2020-03-17,"7,610",0,https://www.mindfactory.de/product_info.php/AMD-Ryzen-3-1200-4x-3-10GHz-So-AM4-BOX_1183095.html
2020-03-17,"35,470",0,https://www.mindfactory.de/product_info.php/AMD-Ryzen-5-1600-6x-3-20GHz-So-AM4-BOX_1159710.html
2020-03-17,"6,600",102.03,https://www.mindfactory.de/product_info.php/AMD-Ryzen-5-1400-4x-3-20GHz-So-AM4-BOX_1159712.html
2020-03-17,"1,820",0,https://www.mindfactory.de/product_info.php/AMD-Ryzen-Threadripper-1950X-16x-3-40GHz-So-TR4-WOF_1185415.html
2020-03-17,"12,290",334.41,https://www.mindfactory.de/product_info.php/AMD-Ryzen-7-1700-8x-3-00GHz-So-AM4-BOX_1144032.html
2020-03-17,"18,560",231.03,https://www.mindfactory.de/product_info.php/AMD-Ryzen-5-1600X-6x-3-60GHz-So-AM4-WOF_1159709.html
2020-03-17,"2,360",105.94,https://www.mindfactory.de/product_info.php/AMD-Ryzen-3-1300X-4x-3-40GHz-So-AM4-BOX_1183094.html
2020-03-17,620,146.71,https://www.mindfactory.de/product_info.php/AMD-Ryzen-Threadripper-1900X-8x-3-80GHz-So-TR4-WOF_1190053.html
2020-03-17,"1,230",205.80,https://www.mindfactory.de/product_info.php/AMD-Ryzen-Threadripper-1920X-12x-3-50GHz-So-TR4-WOF_1185416.html
